2024-02-03 11:07:19.775 [background-preinit] INFO  org.hibernate.validator.internal.util.Version:21 - HV000001: Hibernate Validator 6.2.5.Final
2024-02-03 11:07:22.501 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'sysFilesMapper' and 'org.jeecg.modules.system.mapper.SysFilesMapper' mapperInterface. Bean already defined with the same name!
2024-02-03 11:07:22.501 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'sysFillRuleMapper' and 'org.jeecg.modules.system.mapper.SysFillRuleMapper' mapperInterface. Bean already defined with the same name!
2024-02-03 11:07:22.502 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'sysFormFileMapper' and 'org.jeecg.modules.system.mapper.SysFormFileMapper' mapperInterface. Bean already defined with the same name!
2024-02-03 11:07:22.502 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'sysGatewayRouteMapper' and 'org.jeecg.modules.system.mapper.SysGatewayRouteMapper' mapperInterface. Bean already defined with the same name!
2024-02-03 11:07:22.502 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'sysLogMapper' and 'org.jeecg.modules.system.mapper.SysLogMapper' mapperInterface. Bean already defined with the same name!
2024-02-03 11:07:22.502 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'sysPackPermissionMapper' and 'org.jeecg.modules.system.mapper.SysPackPermissionMapper' mapperInterface. Bean already defined with the same name!
2024-02-03 11:07:22.502 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'sysPermissionDataRuleMapper' and 'org.jeecg.modules.system.mapper.SysPermissionDataRuleMapper' mapperInterface. Bean already defined with the same name!
2024-02-03 11:07:22.502 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'sysPermissionMapper' and 'org.jeecg.modules.system.mapper.SysPermissionMapper' mapperInterface. Bean already defined with the same name!
2024-02-03 11:07:22.502 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'sysPositionMapper' and 'org.jeecg.modules.system.mapper.SysPositionMapper' mapperInterface. Bean already defined with the same name!
2024-02-03 11:07:22.502 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'sysRoleIndexMapper' and 'org.jeecg.modules.system.mapper.SysRoleIndexMapper' mapperInterface. Bean already defined with the same name!
2024-02-03 11:07:22.502 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'sysRoleMapper' and 'org.jeecg.modules.system.mapper.SysRoleMapper' mapperInterface. Bean already defined with the same name!
2024-02-03 11:07:22.502 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'sysRolePermissionMapper' and 'org.jeecg.modules.system.mapper.SysRolePermissionMapper' mapperInterface. Bean already defined with the same name!
2024-02-03 11:07:22.502 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'sysTableWhiteListMapper' and 'org.jeecg.modules.system.mapper.SysTableWhiteListMapper' mapperInterface. Bean already defined with the same name!
2024-02-03 11:07:22.503 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'sysTenantMapper' and 'org.jeecg.modules.system.mapper.SysTenantMapper' mapperInterface. Bean already defined with the same name!
2024-02-03 11:07:22.503 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'sysTenantPackMapper' and 'org.jeecg.modules.system.mapper.SysTenantPackMapper' mapperInterface. Bean already defined with the same name!
2024-02-03 11:07:22.503 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'sysTenantPackUserMapper' and 'org.jeecg.modules.system.mapper.SysTenantPackUserMapper' mapperInterface. Bean already defined with the same name!
2024-02-03 11:07:22.503 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'sysThirdAccountMapper' and 'org.jeecg.modules.system.mapper.SysThirdAccountMapper' mapperInterface. Bean already defined with the same name!
2024-02-03 11:07:22.503 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner:44 - Skipping MapperFactoryBean with name 'sysUserAgentMapper' and 'org.jeecg.modules.system.mapper.SysUserAgentMapper' mapperInterface. Bean already defined with the same name!
